"Category","Requirement","Result","Evidence","Fix"
"3.1 Product Backlog","At least 10 User Stories","PASS","11 unique US found","Create enough US issues in Product Backlog."
"3.1 Product Backlog","Each US has Story Point","FAIL","12/13 US have SP","Add missing Story Point values."
"3.1 Product Backlog","Priority is differentiated","PASS","Medium:6, High:4, Low:2, Highest:1","Use High/Medium/Low logically."
"3.1 Product Backlog","Backlog priority order is reviewable","FAIL","CSV cannot prove backlog rank; Highest/High items are not all at top in export order","Move highest priority US to the top of Product Backlog in Jira."
"3.2 Sprint Backlog","Sprint date is present","FAIL","0 start date values found","Set Sprint start/end date in Jira."
"3.2 Sprint Backlog","At least 3 US in Sprint","PASS","5 US in Sprint","Move at least 3 existing Product Backlog US into Sprint."
"3.2 Sprint Backlog","Sprint US have Given-When-Then AC","FAIL","3/5","Add at least 2 GWT acceptance criteria to every Sprint US."
"3.2 Sprint Backlog","Each Sprint US has at least 3 subtasks","FAIL","3/5","Create missing subtasks for Sprint US."
"3.2 Sprint Backlog","Tasks have assignees","PASS","30/30 assigned task/subtask issues","Assign every task/subtask to one member."
"3.3 Kanban","Board has To Do, In Progress, Done","PASS","Done:11, In Progress:11, To Do:9","Keep columns To Do, In Progress, Done or equivalents."
"3.3 Kanban","Progress across at least 3 workdays","FAIL","Status dates: 17/Jun/26, 24/Jun/26; Resolved dates: 24/Jun/26","Move tasks through statuses on at least 3 different workdays."
"3.3 Kanban","At least 3 US Done","PASS","6 US Done","Complete at least 3 Sprint US."
"3.3 Kanban","Each visible member has Done work","PASS","hliem150306:1, ng quan:1, Trương Quang Tùng:4, giap:4, Lường Khắc Huy:1","Ensure every member has at least 1 Done task/subtask."
"3.4 Burndown","Burndown data spans 3 workdays","FAIL","Resolved dates: 24/Jun/26","Burndown needs issues completed across at least 3 days; Jira generates the chart automatically."
